Marca,Producto,Precio_COP,Calificacion,Tienda
HP,PortÃ¡til 245 G10 Ryzen 5 7530U 8GB 512GB HD 14,0,4.5,Falabella
HP,"PORTATIL - RYZEN 3 7330U - 8GB RAM - 512GB SSD - 14"" HD - MOD: 245 G10 - COMPUTADOR PORTATIL",0,4.5,Falabella
LENOVO,PortÃ¡til Ideapad Slim 3 | Intel Core i5 Serie H | 24GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.3 pulgadas | IP Slim 3 | Computador PortÃ¡til,0,4.5,Falabella
HP,PortÃ¡til 15.6â Full HD AMD Ryzen 7 7730U 16GB RAM 512GB SSD Plata,0,4.5,Falabella
ASUS,"PORTATIL INTEL CORE I5-13420H SSD 512GB RAM 16GB LED 15,6 FULL HD",0,4.5,Falabella
HP,PortÃ¡til 15.6 HD Intel Core i5 -1235U RAM 12GB 512GB SSD Plata,0,4.5,Falabella
HP,PORTATIL GAMER VICTUS 15-RYZEN 7 7445HS - RAM 16GB -SSD 512GB - RTX 3050 6GB,0,4.5,Falabella
HP,PORTATIL-HP 15-FD0130LA - INTEL CORE I3 1215U - 8GB DDR4 - 512GB SSD - PANTALLA 156 HD,0,4.5,Falabella
LENOVO,"PORTATIL - RYZEN 5 7520U - 16GB RAM - 512GB SSD - 14"" FHD - MOD: V14 G4 AMN - COMPUTADOR",0,4.5,Falabella
LENOVO,"PORTÃTIL AMD RYZEN 5 7520U 16GB LPDDR5 512GB SSD 14"" FHD + BOLSO OBSEQUIO",0,4.5,Falabella
ASUS,PortÃ¡til Vivobook 15 | AMD Ryzen 7 | LPDDR5 16GB| 512 GB SSD de almacenamiento | Windows 11 |15.6 Pulgadas |M1502YA-NJ180W | Computador portÃ¡til,0,4.5,Falabella
LENOVO,PortÃ¡til Ideapad Slim 3 | AMD Ryzen 7 | 16GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | IP Slim 3 | Computador PortÃ¡til,0,4.5,Falabella
HP,PortÃ¡til 15.6 HD Intel Core i5 -1235U RAM 16GB 512GB SSD Plata,0,4.5,Falabella
HP,PortÃ¡til Gaming Victus | Intel Core I5 | 8GB | 512 GB SSD Almacenamiento | RTX 3050 | 15-Fa2009La | 15.6 Fhd | Windows 11 Home,0,4.5,Falabella
HP,PortÃ¡til | AMD Ryzen 7 | 16 GB RAM | 1 TB SSD Almacenamiento |Windows 11 | 15.6 pulgadas | 15-fc0276la | Computador portÃ¡til,0,4.5,Falabella
ASUS,PortÃ¡til Vivobook 16 | Intel Core i5 | 16 GB de RAM | 1TB SSD de almacenamiento | Windows 11 |16 Pulgadas |X1605VA-MB2013W | Computador portÃ¡til,0,4.5,Falabella
LENOVO,PortÃ¡til Gamer LOQ| Geforce RTX 3050 |Intel Core i5 Serie HX | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | LOQ | Computador PortÃ¡til,0,4.5,Falabella
HP,PortÃ¡til |Intel Core Ultra 5| 8 GB RAM | 512 GB SSD Almacenamiento| 15.6 pulgadas | Windows 11 Home |15-fd1250la | Computador portÃ¡til,0,4.5,Falabella
ASUS,Portatil ExpertBook Intel Core i7 13620H 16GB 1TB SSD 14 WIN11 Pro Negro,0,4.5,Falabella
LENOVO,"PORTATIL SLIM INTEL CORE I5-13420H SSD 512GB RAM 24GB LED 15,3 FULL HD",0,4.5,Falabella
LENOVO,PortÃ¡til Ideapad Slim 3 | Intel Core i3 | 8GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 15.6 pulgadas | IP Slim 3 | Computador PortÃ¡til,0,4.5,Falabella
HP,PORTATIL GAMER VICTUS RYZEN 7-7445HS RTX 3050 8GB 512GB SSD FHD 15.6'' + BOLSO,0,4.5,Falabella
ASUS,PortÃ¡til Zenbook Duo | Intel Core Ultra9 Serie H | 32 GB de RAM | 1TB SSD de almacenamiento | Windows 11 |14 Pulgadas |UX8406CA-PZ961W | Computador portÃ¡til,0,4.5,Falabella
LENOVO,PortÃ¡til Ideapad 5 2 en 1 | AMD Ryzen AI 7 | 24GB de RAM | 512GB SSD de Almacenamiento | Windows 11 | Pantalla 14 pulgadas | IP 5 2 en 1 | Computador PortÃ¡til,0,4.5,Falabella
ASUS,PortÃ¡til TUF Gaming F15 | GeForce RTX 4060 | Intel Core i7 | 16GB de RAM | 512G SSD de almacenamiento | Windows 11 | 15.6 Pulgadas | FX507VV-LP139W| Computador portÃ¡til Gamer,0,4.5,Falabella
LENOVO,PortÃ¡til IdeaPad Slim 5 Intel Core i7 16GB 1TB - Gris,0,4.5,Falabella
ASUS,Portatil ExpertBook Intel Core i7 13620H 32GB 1TB SSD 14 WIN11 Pro,0,4.5,Falabella
